Subtotal,city,state_id
175,Anchorage,AK
175,Bethel,AK
175,Juneau,AK
149,Anchorage,AK
166,Wasilla,AK
195,Wasilla,AK
195,Wasilla,AK
195,Wasilla,AK
29,Wasilla,AK
166,Wasilla,AK
100,Enterprise,AL
39.95,Alabaster,AL
595,Pelham,AL
125,Pinson,AL
14.95,Talladega,AL
29.95,Tuscaloosa,AL
625,Alma,AR
295,Sulphur Springs,AR
261.75,Bella Vista,AR
345,Farmington,AR
23.95,Fort Smith,AR
59,Fort Smith,AR
26.96,Fort Smith,AR
39.95,Apache Junction,AZ
149,Apache Junction,AZ
350,Casa Grande,AZ
149,Chandler,AZ
695,Gilbert,AZ
349,Glendale,AZ
175,Glendale,AZ
261.75,Gold Canyon,AZ
295,Gold Canyon,AZ
295,Gold Canyon,AZ
149,Kingman,AZ
149,Kingman,AZ
29.95,Lake Havasu City,AZ
265.5,Lake Havasu City,AZ
54.95,Marana,AZ
521.25,Marana,AZ
295,Oro Valley,AZ
125,Oro Valley,AZ
64.95,Peoria,AZ
70,Phoenix,AZ
70,Phoenix,AZ
70,Phoenix,AZ
70,Phoenix,AZ
70,Phoenix,AZ
70,Phoenix,AZ
70,Phoenix,AZ
70,Phoenix,AZ
157.45,Tuba City,AZ
495,Tuba City,AZ
738.75,Tuba City,AZ
58.46,Tucson,AZ
149,Tucson,AZ
149,Tucson,AZ
175,Tucson,AZ
175,Tucson,AZ
450,Tucson,AZ
199,Tucson,AZ
395,Alpine,CA
84.6,Rancho Cucamonga,CA
112.5,Anaheim,CA
34.99,Arroyo Grande,CA
395,Atascadero,CA
695,Brentwood,CA
39.95,Calabasas,CA
349,Fortuna,CA
157.5,Cottonwood,CA
39.95,Danville,CA
521.25,El Cajon,CA
149,Simi Valley,CA
56.25,Fremont,CA
19.95,Huntington Beach,CA
595,Imperial Beach,CA
106.25,Keene,CA
350,Long Beach,CA
100,Los Angeles,CA
470,Los Angeles,CA
54.95,Madera,CA
29.95,Mammoth Lakes,CA
74.98,Manteca,CA
100,Mountain View,CA
395,Mountain View,CA
39.95,Murrieta,CA
39.95,Newport Beach,CA
225,Oceanside,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
32,Orcutt,CA
100,Palm Desert,CA
200,Perris,CA
350,Perris,CA
64.95,Pleasanton,CA
34.99,Poway,CA
695,Rancho Murieta,CA
596.25,Riverside,CA
150,Rosamond,CA
112.5,Rosamond,CA
250,San Francisco,CA
34.99,San Lorenzo,CA
172.95,San Luis Obispo,CA
258.75,San Mateo,CA
39.95,San Rafael,CA
395,Santa Maria,CA
625.5,Stockton,CA
345,Tracy,CA
382.5,Visalia,CA
29.95,West Hollywood,CA
148.75,Arvada,CO
175,Arvada,CO
350,Arvada,CO
265.5,Arvada,CO
64.95,Ault,CO
157.5,Aurora,CO
175,Aurora,CO
630,Berthoud,CO
64.95,Black Hawk,CO
650,Black Hawk,CO
295,Boulder,CO
225,Broomfield,CO
175,Broomfield,CO
111.75,Lincoln Park,CO
695,Centennial,CO
195,Colorado Springs,CO
100,Colorado Springs,CO
700,Colorado Springs,CO
100,Colorado Springs,CO
93.75,Colorado Springs,CO
